,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44818,Nahki Wells,0,0,46,5,0,9,4.7,3.0512357638059306
44819,Kelechi Iheanacho,4,3,475,5,1,47,84.8,66.11842853932568
44820,Leighton Baines,4,7,4098,2,13,186,203.6,224.1937806960263
44821,Ainsley Maitland-Niles,0,0,2,3,0,1,0.2,0.8812352992385861
44822,Ben Gibson,1,0,2070,2,7,81,66.6,71.53626467997665
44823,Danny Simpson,0,3,4647,2,13,128,126.0,155.35095911388976
44824,Jamie Vardy,38,11,6987,5,20,406,526.8,547.158299221361
44825,Gaël Clichy,0,0,79,2,0,4,2.7,1.7782040126758893
44826,Heurelho Gomes,0,0,4057,1,10,141,98.8,100.25743496875494
44827,Dan Gosling,4,1,3088,3,5,103,145.4,141.82434409885815
44828,Calum Chambers,2,1,2250,2,7,83,88.0,93.48661847833391
44829,Yan Valery,2,0,1164,2,2,43,41.2,52.51292936781001
44830,Tomer Hemed,2,1,555,5,2,33,29.0,43.630969015691875
44831,Carlos Sánchez,0,0,217,3,0,7,7.2,7.230642709809045
44832,Álvaro Morata,10,5,1652,5,11,109,193.8,182.93991696865243
44833,Leroy Sané,12,17,3323,4,16,223,335.3,378.6100462642102
44834,Jordan Henderson,2,5,5037,3,25,174,236.0,256.75801229750516
44835,Mamadou Sakho,1,1,1520,2,6,75,55.6,64.74045734877924
44836,Charlie Taylor,0,0,949,2,2,24,27.5,28.915739380809157
44837,Ederson Santana de Moraes,0,0,3105,1,15,159,53.7,70.96715597377246
44838,Ademola Lookman,1,3,994,4,2,54,76.1,65.27887553412499
44839,Jay Fulton,0,0,19,3,0,1,2.4,1.391167447956084
44840,Christian Eriksen,13,26,4851,4,25,331,565.1,565.7512685721183
44841,Jannik Vestergaard,0,0,720,2,2,18,25.3,22.471634106893184
44842,Andy Carroll,10,3,2054,5,6,105,178.0,172.6760700399255
44843,Markus Suttner,0,0,990,2,4,37,26.8,31.804138484215343
44844,Steven Defour,1,3,877,3,5,50,61.5,64.74151871843544
44845,Jason Denayer,0,0,1589,2,5,47,38.3,48.4128580539294
44846,Sadio Mané,4,2,807,4,1,61,83.7,76.31625320329861
44847,Patrick van Aanholt,11,4,6534,2,19,278,361.7,330.1763826355276
44848,Fabian Delph,2,1,1506,3,5,55,67.6,78.37594403456917
44849,Marc Albrighton,5,16,5828,3,18,238,367.8,384.11241409681975
44850,Marc Navarro,0,0,83,2,0,1,2.2,1.9158522268676652
44851,Simon Mignolet,0,0,1620,1,4,68,30.7,44.35802748425175
44852,Eldin Jakupovic,0,0,450,1,1,23,16.3,11.920478431634926
44853,Jack Wilshere,1,5,3064,3,8,107,182.4,149.41840424429813
44854,Michael Carrick,0,0,1136,3,4,30,38.8,40.53246707544925
44855,Bruno Ecuele Manga,0,1,1980,2,6,58,53.4,67.61876528343393
44856,Mateo Kovacic,0,0,108,3,1,6,8.7,6.176794264802446
44857,Scott McTominay,1,0,1399,3,6,51,43.1,62.08914383141122
44858,David Meyler,1,0,918,3,2,31,34.7,39.81843390163364
44859,Hélder Costa,0,0,322,4,2,13,13.0,15.78771768711124
44860,Jack Simpson,0,0,71,2,0,1,0.6,1.5023279098578115
44861,Aaron Ramsey,8,14,3133,3,13,188,298.4,304.88924504427126
44862,Jason Puncheon,0,6,3667,4,7,103,213.8,192.43821156475343
44863,Peter Crouch,0,0,64,5,0,2,2.1,3.7549616613153383
44864,Joe Allen,6,3,2691,3,9,115,165.4,173.19091792813418
44865,Jordi Amat,0,0,720,2,1,13,27.6,22.028045707917677
44866,Heurelho Gomes,0,0,2347,1,4,79,58.7,65.0318973741272
44867,César Azpilicueta,2,9,4320,2,20,237,186.5,233.2416326362001
44868,Duncan Watmore,0,5,1025,4,2,43,51.4,73.0607011073569
44869,Artur Boruc,0,0,3150,1,9,120,82.4,78.77893609552139
44870,Martin Dubravka,0,0,360,1,2,24,7.3,3.9302099364654666
44871,Shkodran Mustafi,5,3,4115,2,17,187,213.6,201.8221648340014
44872,Beni Baningime,0,0,192,3,0,7,1.3,6.501388709384377
44873,Kelechi Iheanacho,4,9,1706,5,2,108,128.5,168.4968675414798
44874,Mesut Özil,5,6,1862,4,7,103,205.4,160.7416434290268
