,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
2371,71,Dean Marney,1,2,1764,3,5,51,58.44925975460353
2372,55,Paul Pogba,8,11,3290,3,17,171,190.21711965331383
2373,12,Tom Cleverley,0,0,340,3,0,10,8.686110337251208
2374,7,Olivier Giroud,0,1,54,5,0,6,7.805078772354257
2375,68,Nordin Amrabat,0,3,2289,4,5,71,72.97877875626068
2376,52,Callum Wilson,9,1,1711,5,9,87,94.81889059752746
2377,23,Kevin Wimmer,0,0,315,2,0,2,5.143464123291686
2378,58,Simon Mignolet,0,0,4140,1,16,174,180.66536965461535
2379,95,James Tomkins,6,1,5769,2,21,219,240.63252527978665
2380,14,Willy Caballero,0,0,270,1,0,6,5.497767839422828
2381,23,Giannelli Imbula,0,1,790,3,2,23,24.09606031657988
2382,30,Gary Cahill,4,0,2693,2,13,137,134.5547629991678
2383,46,Angelo Ogbonna,0,0,2115,2,4,47,52.22490155278146
2384,49,Davide Zappacosta,1,1,1105,2,5,60,49.00319383148103
2385,34,Adam Federici,0,0,180,1,1,8,10.20077112175117
2386,100,José Holebas,5,15,7091,2,16,239,242.3102817980556
2387,74,Aaron Ramsey,8,13,2900,3,12,178,169.6694412228614
2388,2,Héctor Bellerín,0,0,180,2,1,9,7.29644180315257
2389,5,Hamza Choudhury,0,0,7,3,0,1,1.0873025803737502
2390,72,Lys Mousset,2,1,695,5,2,45,34.7384431279944
2391,49,Oleksandr Zinchenko,0,0,17,2,0,1,0.6388225466675612
2392,37,Shane Duffy,0,2,3222,2,10,99,104.42045668081434
2393,10,Héctor Bellerín,0,2,900,2,4,45,38.280529971669466
2394,78,Fraser Forster,0,0,5220,1,18,207,217.856394438601
2395,13,Molla Wagué,0,0,45,2,0,1,1.049079540299541
2396,64,Mathew Ryan,0,0,5400,1,14,216,201.55223867066263
2397,34,Will Keane,0,0,280,5,1,8,11.057095332235534
2398,27,James Collins,1,0,845,2,2,32,28.571709528893884
2399,100,Heurelho Gomes,0,0,5465,1,12,177,193.21548523466606
2400,32,Isaac Success,1,1,477,4,1,27,25.91848539006824
2401,16,James Milner,5,1,1241,3,4,69,70.96200183905813
2402,72,Matt Ritchie,5,12,5369,3,18,207,207.3808700933415
2403,62,Hugo Lloris,0,0,4984,1,24,226,225.87988828289866
2404,76,Seamus Coleman,4,5,3351,2,14,172,164.0861289664211
2405,8,Steve Cook,1,0,720,2,2,29,26.430854197301024
2406,30,Emerson Palmieri dos Santos,0,1,278,2,1,14,12.073741077210443
2407,32,Gökhan Töre,0,1,240,4,1,10,12.018708202406557
2408,31,Mathias Jorgensen,3,1,2147,2,3,67,70.27427281633268
2409,29,Yohan Cabaye,2,3,1747,3,5,65,68.31403947568424
2410,26,Claudio Bravo,0,0,1710,1,4,59,65.50349846251567
2411,64,Leon Britton,0,0,1432,3,8,41,45.36952105369686
2412,11,Danilo Luiz da Silva,0,1,334,2,3,24,21.010515120439408
2413,33,Matty James,0,0,991,3,4,26,27.317152487380966
2414,17,Sadio Mané,8,6,1387,4,6,102,112.44729817691132
2415,35,Leighton Baines,2,4,2549,2,10,123,113.50898667474303
2416,41,Craig Dawson,4,0,3546,2,8,117,120.36741393568457
2417,32,Jonathan Hogg,0,0,1900,3,5,40,46.27516537072191
2418,8,Claudio Bravo,0,0,630,1,2,32,25.518937928731848
2419,26,Roberto Firmino,8,6,2222,5,7,124,118.98696257254198
2420,13,Harry Maguire,0,1,378,2,0,8,9.228986329908096
2421,10,Andrew Surman,0,0,810,3,2,19,20.674595036461966
2422,32,Johann Berg Gudmundsson,1,2,922,4,3,41,40.217082982412876
2423,38,Mesut Özil,8,11,2841,4,12,167,166.67510737527857
2424,15,Jesse Lingard,0,1,418,4,2,17,16.02951775472814
2425,38,Simon Francis,0,1,2938,2,10,89,97.59606245965352
2426,43,Michael Carrick,0,0,1601,3,5,42,41.10425536493753
2427,92,Sergio Agüero,49,17,5319,5,28,426,414.25275725753033
2428,68,Will Hughes,3,6,2751,3,10,114,114.37070683858872
2429,99,Phil Jagielka,3,3,4367,2,12,162,152.6313832843481
2430,10,Connor Wickham,0,0,284,5,0,8,10.667185118170693
